TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Delta average,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Theta average,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Alpha average,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Beta average,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,Gamma average,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,left/right brain coherence,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2021-07-30 14:39:38,1.591759883,1.231050188,1.542004412,0.7900201714,1.288708664,1.089805356,0.4262272271,0.8620114935,0.5106351879,0.722169816,1.479351463,-0.1024690158,0.8216879387,0.7653004047,0.7409676977,0.8535264691,-0.1463098638,-0.1865716539,0.6319063792,0.2881378326,0.210422753,-0.5215134135,-0.5003287061,0.4142972294,-0.09928053429,799.010989,789.7435897,795.3846154,802.6373626,,765.1648352,0.313904,-0.004211,0.991028,0.979462,5.577698,15.506897,1,1,1,1,1,10,
2021-07-30 14:39:39,1.504571332,1.455754057,1.783398031,0.4415558406,1.296319815,1.015316264,0.5897450519,1.05812723,0.2471725335,0.7275902698,1.140335739,0.2209990627,0.8189039045,0.5585481573,0.6846967159,0.7053795594,-0.08675917117,-0.001402012051,0.6698660206,0.3217710992,0.3493649221,-0.527432962,-0.3623114318,0.3230882885,-0.05432279581,674.9084249,817.5457875,783.2967033,792.1611722,,906.1904762,0.144836,0.00116,0.976685,7.319794,0.70282,47.320709,1,1,1,1,1,10,
2021-07-30 14:39:40,1.504571332,1.354432698,1.672936943,0.4415558406,1.243374203,1.015316264,0.4842155288,0.9805713299,0.2471725335,0.6818189141,1.140335739,0.3260194925,0.7437456787,0.5585481573,0.6921622669,0.7053795594,-0.03571372484,0.1267609782,0.6698660206,0.3665732083,0.3493649221,-0.4024062193,-0.1251752927,0.3230882885,0.03621792466,808.2783883,784.1025641,803.040293,741.3919414,,702.3076923,0.012695,-0.209412,0.969543,12.060089,4.702911,40.666351,1,1,1,1,1,10,
2021-07-30 14:39:41,1.504571332,1.571237447,1.906426381,0.4415558406,1.35594775,1.015316264,0.8561951977,0.9924230652,0.2471725335,0.7777767651,1.140335739,0.498943565,0.7677400268,0.5585481573,0.741391872,0.7053795594,0.09324195334,0.2772849866,0.6698660206,0.43644313,0.3493649221,-0.2097255563,-0.1007716561,0.3230882885,0.09048899955,858.2417582,802.2344322,784.1025641,811.9047619,,654.3589744,0.269287,0.480164,0.877197,-10.766602,-9.510498,-49.795532,1,2,1,1,2,10,
2021-07-30 14:39:42,1.504571332,1.716891084,1.688220893,0.4415558406,1.337809788,1.015316264,0.8547077681,0.5512333636,0.2471725335,0.6671074823,1.140335739,0.9106594857,0.3664769988,0.5585481573,0.7440050951,0.7053795594,0.03608629418,0.04357268304,0.6698660206,0.3637261393,0.3493649221,-0.3816498569,-0.3469097146,0.3230882885,-0.01402659022,981.5384615,826.007326,790.1465201,824.3956044,,735.3479853,0.53595,0.625427,0.426208,-24.546356,-4.643097,-12.097473,1,2,1,1,2,10,
2021-07-30 14:39:43,1.504571332,1.884120522,1.207201887,0.4415558406,1.259362396,1.015316264,0.8628712302,0.6790470985,0.2471725335,0.7011017816,1.140335739,0.8854992587,0.6303707081,0.5585481573,0.8036884657,0.7053795594,-0.01288961332,0.1407375135,0.6698660206,0.37577337,0.3493649221,-0.2718391036,-0.3487706224,0.3230882885,0.01296087113,1064.139194,843.3333333,796.1904762,794.981685,,698.6813187,0.149719,-0.389832,0.931152,25.077209,-11.581573,23.357544,1,4,1,1,2,10,
2021-07-30 14:39:44,1.504571332,1.767304012,1.182113794,0.4415558406,1.223886245,1.015316264,0.4597484602,0.844980326,0.2471725335,0.641804396,1.140335739,-0.03930804272,0.6081055789,0.5585481573,0.5669203581,0.7053795594,-0.07451576689,0.2010987386,0.6698660206,0.3754571379,0.3493649221,-0.2470953309,-0.4338366582,0.3230882885,-0.002119694624,752.6739927,826.007326,816.7399267,845.3479853,,800.2197802,0.496765,0.095276,0.887634,29.436188,-8.777771,-21.854706,1,2,1,1,2,10,
2021-07-30 14:39:45,1.504571332,1.919420242,1.182113794,1.333101464,1.484801708,1.015316264,0.7450905248,0.844980326,0.6782479655,0.8209087701,1.140335739,0.7198028181,0.6081055789,1.168863082,0.9092768044,0.7053795594,-0.06371666789,0.2010987386,1.257592322,0.525088488,0.3493649221,-0.2530642877,-0.4338366582,1.093061397,0.1888813433,723.6630037,779.2673993,824.3956044,800.2197802,,682.967033,0.39325,0.076477,0.907776,11.910553,-1.674805,14.146118,1,1,1,1,1,10,
2021-07-30 14:39:46,1.504571332,1.652441133,1.548574394,0.9490379998,1.413656215,1.015316264,0.7115818195,1.120376655,0.7548259653,0.900525176,1.140335739,0.7098341198,0.9036163118,1.292602277,1.011597112,0.7053795594,-0.03756898101,-0.06967173537,1.31633304,0.4786179709,0.3493649221,-0.3355618394,-0.374363438,1.066416371,0.176464004,838.9010989,807.4725275,832.8571429,819.96337,,685.3846154,0.32312,0.027283,0.960327,1.031799,-5.286102,0.643005,1,1,1,1,1,10,
2021-07-30 14:39:47,1.504571332,1.230818218,1.464193275,0.9287142224,1.282074262,1.015316264,0.1375423633,1.133800035,0.5947484673,0.7203517823,1.140335739,0.6065666304,0.9039017841,1.172882885,0.9559217595,0.7053795594,-0.008200980452,0.02748026838,1.290953535,0.5039030956,0.3493649221,-0.4484950884,-0.4812126644,0.9254860351,0.08628580112,1019.010989,885.2380952,808.2783883,884.029304,,704.7252747,0.188232,0.063477,1.001099,8.403931,8.142242,36.987762,1,1,1,1,1,10,
